Casarene (Squibb)
Osteria Della Fontana
Fontana Ceraso
Pantanello
Tofe Pistone
Quattro strade
Sub Nord
Sub Sud
Porta S. Francesco
S. Giorgetto
Cantina Sociale
Osteria La Noce
Via Casilina, km. 67
Strada Provinciale Anagni/Ferentino (Muraglione)
Cardinali
Tufano
Vallevona
Bivio Morolo
Fosso del Lupo
Piscina
Vignola
S. Bartolomeo
Faito
Ponte Piano
Sub Nord
Cimitero
Via Casalotto
Via Collacciano
F. Ceraso
Bivio Fiuggi (Coop)
Prato
Strada Regionale Anticolana
Bivio S. Filippo
Strada Provinciale Anagni/Acuto
Ponte delle Cavatole
Acqua Cetosa
Monti
S. Filippo
Ristorante La Rena
Via Casilina, km.68
Via Madonna delle Grazie
Via Madonna di Tufano
Cava S. Magno
Impianti Sportivi
Centro Storico
Viale Roma
Via Cerere Navicella
Cucugnano
Via Ponte del Papa
Strada Ricci
V. Bagnara
V.P. Sabatino
Via Fucigno
Via La Sassera
Bivio Ricci
Stazione FS
Via Rotabile S. Francesco
Viale G. Matteotti
Collegio Leoniano
Ex Tribunale
Ufficio Postale
Porta S. Maria
Via V. Emanuele
Porta Cerere
Convitto R. Margherita
Istituto Tecnico
Bar Rossi
